
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeStateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   386260
Number of nonzeros in inequality constraint Jacobian.:    42048
Number of nonzeros in Lagrangian Hessian.............:    76913

Total number of variables............................:    44187
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    44187
                     variables with only upper bounds:        0
Total number of equality constraints.................:    33650
Total number of inequality constraints...............:    21025
        inequality constraints with only lower bounds:    10488
   inequality constraints with lower and upper bounds:       49
        inequality constraints with only upper bounds:    10488

  87 3.3717963e+000 1.11e+001 3.56e-002  -4.5 2.77e+001    -  3.48e-001 1.00e+000h  1
  88 3.3168922e+000 4.04e+000 2.30e-003  -4.8 2.04e+000  -4.9 1.00e+000 1.00e+000h  1
  89 3.2670707e+000 1.60e+000 1.46e-003  -4.8 3.72e+000  -5.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 3.2583605e+000 1.44e+000 2.16e-003  -4.8 1.14e+002    -  1.95e-001 1.32e-001h  1
  91 3.2465090e+000 1.23e+000 1.58e-002  -4.8 9.16e+001    -  7.23e-001 2.50e-001h  1
  92 3.2143625e+000 3.89e+000 1.39e-003  -4.8 2.69e+001    -  1.00e+000 1.00e+000h  1
  93 3.1907072e+000 3.19e+000 1.64e-003  -4.8 3.40e+000  -5.9 1.00e+000 1.00e+000h  1
  94 3.3041748e+000 5.86e+001 3.53e-002  -4.6 4.60e+000  -6.4 5.06e-001 1.00e+000h  1
  95 3.3041277e+000 1.49e+001 5.89e-002  -4.8 1.19e+000  -3.2 1.00e+000 1.00e+000h  1
  96 3.2969778e+000 1.06e+000 1.07e-002  -5.2 3.17e-001  -2.8 1.00e+000 1.00e+000h  1
  97 3.2918068e+000 5.53e-002 9.90e-003  -4.9 1.92e-001  -3.3 1.00e+000 1.00e+000h  1
  98 3.2761316e+000 4.28e-001 2.30e-003  -5.1 4.89e-001  -3.7 1.00e+000 9.87e-001h  1
  99 3.2692360e+000 7.44e-001 1.36e-003  -4.9 7.12e-001  -4.2 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100 3.2286856e+000 1.87e+000 5.13e-003  -5.1 1.43e+000  -4.7 1.00e+000 9.98e-001h  1
 101 3.2087092e+000 4.41e+000 7.81e-003  -5.2 4.20e+000  -5.2 5.65e-001 3.23e-001h  1
 102 3.1904088e+000 1.37e+000 8.41e-003  -5.2 1.61e+000  -4.8 8.46e-001 7.52e-001h  1
 103 3.1895328e+000 1.54e+000 1.42e-002  -4.9 1.67e+000  -5.2 1.00e+000 7.40e-001h  1
 104 3.1746184e+000 1.17e+000 1.82e-002  -5.0 1.06e+000  -4.8 1.00e+000 1.00e+000h  1
 105 3.1368782e+000 4.52e+000 4.58e-003  -5.2 1.84e+000  -5.3 1.00e+000 1.00e+000h  1
 106 3.1889433e+000 8.13e+000 1.55e-002  -4.8 4.99e+000  -5.8 8.17e-001 1.00e+000h  1
 107 3.1736681e+000 5.33e+000 9.75e-003  -5.0 5.68e+000  -6.2 5.65e-001 3.87e-001h  1
 108 3.1677626e+000 4.35e+000 2.09e-002  -5.0 2.55e+001  -6.7 3.58e-001 1.93e-001h  1
 109 3.1551363e+000 1.42e+000 9.04e-002  -5.0 6.43e+000  -5.4 4.36e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110 3.1655084e+000 1.75e+000 7.17e-002  -4.7 6.08e-001  -3.2 1.00e+000 1.00e+000h  1
 111 3.1591860e+000 2.24e-001 3.26e-002  -5.0 2.68e-001  -3.6 1.00e+000 1.00e+000h  1
 112 3.1491959e+000 9.96e-002 9.60e-004  -5.1 3.16e-001  -4.1 1.00e+000 9.79e-001h  1
 113 3.1420896e+000 1.10e-001 8.31e-004  -5.1 5.53e-001  -4.6 1.00e+000 9.32e-001h  1
 114 3.1394079e+000 2.58e+000 3.81e-002  -5.1 1.37e+001  -5.1 1.35e-001 2.40e-001h  1
 115 3.1514464e+000 1.28e+000 6.75e-003  -4.8 4.23e-001  -3.7 1.00e+000 1.00e+000h  1
 116 3.1505609e+000 2.97e-001 1.54e-002  -4.9 9.28e-001  -4.2 6.51e-001 7.31e-001h  1
 117 3.1503010e+000 6.96e-002 3.83e-003  -4.9 6.84e-001  -4.7 1.00e+000 9.77e-001f  1
 118 3.1493935e+000 3.09e-001 5.36e-003  -5.0 4.52e+001    -  9.32e-001 1.81e-001h  1
 119 3.1215074e+000 2.46e+000 1.76e-003  -5.0 1.25e+001    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120 3.2020250e+000 4.49e+001 7.23e-003  -4.8 1.70e+001    -  7.56e-001 1.00e+000h  1
 121 3.1969686e+000 4.63e+000 4.77e-002  -4.9 2.53e+000  -4.3 7.40e-001 1.00e+000h  1
 122 3.1948935e+000 1.68e+000 7.93e-002  -4.9 1.86e+000  -3.8 7.58e-001 1.00e+000h  1
